text,category
bank bus ticket debit,Transport
txn fund transfer id,Transfer
upi meesho online order id,Shopping
debit wifi bill ref,Utilities
card electricity bill payment payment,Utilities
pos electricity bill payment txn,Utilities
pos zomato food order debit,Food
pos cashback credited id,Other
upi uber ride debit,Transport
pos atm wdl charge,Cash Withdrawal
card atm wdl txn,Cash Withdrawal
bank swiggy food order payment,Food
card electricity bill payment id,Utilities
pos cab booking charge ref,Transport
payment bus ticket charge,Transport
bank upi payment to contact payment,Transfer
debit water bill paid payment,Utilities
upi online shopping payment ref,Shopping
bank wifi bill charge,Utilities
upi cab booking charge payment,Transport
card mobile recharge payment ref,Utilities
bank upi transfer to friend payment,Transfer
upi bus ticket id,Transport
bank cashback credited payment,Other
debit mobile recharge payment payment,Utilities
payment fund transfer payment,Transfer
card myntra fashion purchase charge,Shopping
txn zomato food order ref,Food
upi cashback credited ref,Other
pos flipkart order ref,Shopping
debit metro ticket payment charge,Transport
card cash withdrawn from atm txn,Cash Withdrawal
debit cash withdrawn from atm debit,Cash Withdrawal
card upi transfer to friend ref,Transfer
card interest credited txn,Other
txn shopping mall purchase id,Shopping
debit jio recharge debit,Utilities
payment restaurant bill payment charge,Food
card cashback credited charge,Other
card uber ride debit,Transport
debit salary credit debit,Other
upi atm wdl debit,Cash Withdrawal
upi amazon order debit,Shopping
payment broadband payment txn,Utilities
debit cash withdrawn from atm ref,Cash Withdrawal
pos unknown transaction id,Other
bank wifi bill ref,Utilities
pos cashback credited ref,Other
pos unknown transaction payment,Other
card interest credited charge,Other
upi salary credit id,Other
debit neft transfer id,Transfer
payment metro ticket payment txn,Transport
txn cashback credited debit,Other
pos water bill paid id,Utilities
pos uber ride id,Transport
bank atm withdrawal debit ref,Cash Withdrawal
pos cash withdrawn from atm txn,Cash Withdrawal
card mobile recharge payment txn,Utilities
payment cashback credited payment,Other
txn meesho online order debit,Shopping
payment atm withdrawal debit txn,Cash Withdrawal
payment bank transfer debit payment,Transfer
pos dinner at restaurant ref,Food
txn atm cash withdrawal charge,Cash Withdrawal
bank auto rickshaw ride charge,Transport
bank unknown transaction charge,Other
upi swiggy food order id,Food
bank cab booking charge payment,Transport
card neft transfer txn,Transfer
card taxi fare payment payment,Transport
bank swiggy food order charge,Food
debit interest credited charge,Other
upi bus ticket debit,Transport
debit reward points credit id,Other
payment myntra fashion purchase payment,Shopping
pos cafe bill id,Food
txn gas bill transaction id,Utilities
pos upi transfer to friend id,Transfer
pos ola cab ride debit,Transport
txn lunch payment ref,Food
pos ajio clothing order id,Shopping
bank atm cash withdrawal debit,Cash Withdrawal
debit water bill paid txn,Utilities
bank atm wdl charge,Cash Withdrawal
upi food delivery charge ref,Food
upi mobile recharge payment txn,Utilities
payment meesho online order ref,Shopping
debit atm withdrawal debit txn,Cash Withdrawal
pos atm cash withdrawal txn,Cash Withdrawal
card reward points credit id,Other
bank swiggy food order debit,Food
payment bank transfer debit charge,Transfer
debit upi payment to contact payment,Transfer
txn broadband payment payment,Utilities
card interest credited txn,Other
bank cashback credited debit,Other
pos water bill paid payment,Utilities
upi unknown transaction ref,Other
bank unknown transaction payment,Other
debit swiggy food order debit,Food
card ola cab ride charge,Transport
txn mobile recharge payment payment,Utilities
txn upi transfer to friend txn,Transfer
pos broadband payment ref,Utilities
payment imps transfer txn,Transfer
upi bank transfer debit charge,Transfer
upi ajio clothing order payment,Shopping
debit refund received txn,Other
card salary credit charge,Other
bank shopping mall purchase txn,Shopping
bank cashback credited charge,Other
bank gas bill transaction debit,Utilities
card atm wdl payment,Cash Withdrawal
txn reward points credit txn,Other
txn cafe bill id,Food
debit uber ride charge,Transport
card amazon order charge,Shopping
payment money sent to account id,Transfer
debit atm wdl id,Cash Withdrawal
txn auto rickshaw ride txn,Transport
pos fund transfer ref,Transfer
payment ajio clothing order debit,Shopping
card broadband payment id,Utilities
card zomato food order charge,Food
debit flipkart order charge,Shopping
txn uber ride ref,Transport
txn atm withdrawal debit id,Cash Withdrawal
pos fund transfer txn,Transfer
payment gas bill transaction debit,Utilities
bank cab booking charge charge,Transport
pos lunch payment id,Food
pos water bill paid ref,Utilities
debit ola cab ride id,Transport
debit fund transfer txn,Transfer
debit cash withdrawn from atm payment,Cash Withdrawal
upi salary credit ref,Other
pos bus ticket ref,Transport
upi imps transfer ref,Transfer
txn money sent to account payment,Transfer
payment auto rickshaw ride txn,Transport
bank myntra fashion purchase id,Shopping
txn food delivery charge id,Food
debit salary credit charge,Other
txn cashback credited ref,Other
card cab booking charge charge,Transport
payment metro ticket payment debit,Transport
txn myntra fashion purchase id,Shopping
txn amazon order txn,Shopping
pos cash withdrawal atm ref,Cash Withdrawal
pos myntra fashion purchase debit,Shopping
upi myntra fashion purchase ref,Shopping
bank atm txn debit,Cash Withdrawal
payment cash withdrawal atm id,Cash Withdrawal
pos reward points credit txn,Other
debit shopping mall purchase payment,Shopping
upi dinner at restaurant debit,Food
pos zomato food order id,Food
upi gas bill transaction txn,Utilities
txn atm wdl id,Cash Withdrawal
card uber ride debit,Transport
pos uber ride charge,Transport
payment atm wdl txn,Cash Withdrawal
pos bank transfer debit charge,Transfer
bank restaurant bill payment txn,Food
txn electricity bill payment debit,Utilities
txn cash withdrawal atm id,Cash Withdrawal
pos ola cab ride ref,Transport
txn water bill paid txn,Utilities
bank atm wdl id,Cash Withdrawal
bank shopping mall purchase ref,Shopping
bank wifi bill charge,Utilities
txn shopping mall purchase charge,Shopping
pos zomato food order debit,Food
upi taxi fare payment charge,Transport
card uber ride id,Transport
debit cab booking charge txn,Transport
bank atm txn debit,Cash Withdrawal
pos broadband payment id,Utilities
txn mobile recharge payment txn,Utilities
debit cash withdrawn from atm txn,Cash Withdrawal
txn atm txn ref,Cash Withdrawal
payment ola cab ride ref,Transport
card bank transfer debit payment,Transfer
pos taxi fare payment txn,Transport
upi uber ride charge,Transport
txn unknown transaction payment,Other
pos flipkart order ref,Shopping
debit metro ticket payment debit,Transport
upi zomato food order charge,Food
card imps transfer txn,Transfer
upi interest credited id,Other
upi neft transfer debit,Transfer
debit upi payment to contact ref,Transfer
txn dinner at restaurant charge,Food
pos unknown transaction id,Other
debit reward points credit debit,Other
debit refund received txn,Other
payment cafe bill txn,Food
bank atm wdl txn,Cash Withdrawal
payment cab booking charge txn,Transport
upi water bill paid txn,Utilities
upi zomato food order ref,Food
pos water bill paid payment,Utilities
payment cash withdrawal atm txn,Cash Withdrawal
card reward points credit debit,Other
bank cash withdrawal atm payment,Cash Withdrawal
debit money sent to account txn,Transfer
txn cash withdrawn from atm ref,Cash Withdrawal
payment bank transfer debit charge,Transfer
upi food delivery charge payment,Food
debit taxi fare payment txn,Transport
bank money sent to account ref,Transfer
debit atm cash withdrawal ref,Cash Withdrawal
card atm withdrawal debit id,Cash Withdrawal
txn interest credited payment,Other
pos myntra fashion purchase charge,Shopping
pos electricity bill payment txn,Utilities
upi swiggy food order payment,Food
card cab booking charge id,Transport
txn atm wdl id,Cash Withdrawal
payment reward points credit charge,Other
debit wifi bill txn,Utilities
pos cashback credited ref,Other
pos shopping mall purchase ref,Shopping
pos interest credited debit,Other
bank restaurant bill payment charge,Food
txn neft transfer ref,Transfer
payment flipkart order ref,Shopping
bank swiggy food order id,Food
pos bank transfer debit debit,Transfer
card atm txn txn,Cash Withdrawal
pos refund received charge,Other
bank amazon order debit,Shopping
bank flipkart order id,Shopping
pos cash withdrawn from atm txn,Cash Withdrawal
payment interest credited txn,Other
upi online shopping payment id,Shopping
pos cab booking charge charge,Transport
upi reward points credit payment,Other
txn water bill paid charge,Utilities
pos money sent to account charge,Transfer
txn electricity bill payment charge,Utilities
txn jio recharge id,Utilities
pos atm cash withdrawal id,Cash Withdrawal
upi fund transfer ref,Transfer
txn zomato food order charge,Food
debit bus ticket payment,Transport
payment auto rickshaw ride payment,Transport
pos atm cash withdrawal charge,Cash Withdrawal
pos amazon order ref,Shopping
payment myntra fashion purchase payment,Shopping
debit cafe bill payment,Food
pos meesho online order charge,Shopping
txn flipkart order ref,Shopping
upi zomato food order txn,Food
bank upi transfer to friend txn,Transfer
card interest credited id,Other
upi money sent to account txn,Transfer
payment meesho online order debit,Shopping
txn amazon order txn,Shopping
card cash withdrawal atm id,Cash Withdrawal
txn money sent to account payment,Transfer
upi swiggy food order txn,Food
txn upi transfer to friend charge,Transfer
upi upi payment to contact charge,Transfer
txn atm txn charge,Cash Withdrawal
debit salary credit txn,Other
upi myntra fashion purchase id,Shopping
upi restaurant bill payment payment,Food
card cashback credited debit,Other
upi mobile recharge payment id,Utilities
pos flipkart order ref,Shopping
bank cafe bill id,Food
card bus ticket id,Transport
pos atm wdl charge,Cash Withdrawal
upi cab booking charge txn,Transport
payment taxi fare payment ref,Transport
upi imps transfer txn,Transfer
upi lunch payment debit,Food
debit atm cash withdrawal charge,Cash Withdrawal
bank refund received id,Other
txn electricity bill payment payment,Utilities
card salary credit txn,Other
debit mobile recharge payment debit,Utilities
upi taxi fare payment id,Transport
payment restaurant bill payment ref,Food
payment metro ticket payment id,Transport
pos reward points credit txn,Other
pos atm cash withdrawal payment,Cash Withdrawal
payment taxi fare payment txn,Transport
debit atm txn debit,Cash Withdrawal
bank food delivery charge txn,Food
txn swiggy food order id,Food
bank swiggy food order txn,Food
txn upi payment to contact ref,Transfer
card imps transfer txn,Transfer
debit atm withdrawal debit ref,Cash Withdrawal
pos cash withdrawal atm debit,Cash Withdrawal
txn auto rickshaw ride ref,Transport
debit reward points credit payment,Other
card refund received id,Other
pos bank transfer debit id,Transfer
debit ajio clothing order payment,Shopping
debit water bill paid id,Utilities
pos ajio clothing order ref,Shopping
pos jio recharge charge,Utilities
txn fund transfer txn,Transfer
card ajio clothing order txn,Shopping
debit uber ride ref,Transport
